76,36.8,38.18,44.15,33.48,,,,,,,
77,36.88,38.13,43.99,34.16,,,,,,,
78,36.88,38.09,45.17,34.62,,,,,,,
79,36.76,38.55,45.15,33.25,,,,,,,
80,36.86,38.31,44.96,34.01,,,,,,,
81,36.84,38.48,45.51,34.84,,,,,,,
82,36.84,38.6,45.91,35.06,,,,,,,
83,36.79,38.68,46.65,34.18,,,,,,,
84,36.66,38.97,46.3,33.8,,,,,,,
85,37.01,39.4,47.29,35.56,,,,,,,
86,37.07,39.42,47.35,35.25,,,,,,,
87,37.11,39.22,47.85,34.11,,,,,,,
88,36.98,39.12,47.97,35.65,,,,,,,
89,37.31,39.87,48.29,36.38,,,,,,,
90,37.25,39.87,48.71,37.44,,,,,,,
91,37.39,40.16,48.76,35.85,,,,,,,
92,37.19,40.21,48.96,35.33,,,,,,,
93,37.39,40.11,49.32,36.8,,,,,,,
94,37.59,40.42,49.97,36.19,,,,,,,
95,37.37,40.72,50.17,37.64,,,,,,,
96,37.59,40.94,50.07,35.37,,,,,,,
97,37.78,40.97,50.49,37.97,,,,,,,
98,37.54,41.02,51.1,36.63,,,,,,,
99,37.69,41.33,51.36,38.5,,,,,,,
100,37.8,41.32,51.49,38.07,,,,,,,
101,37.81,41.62,51.89,38.2,,,,,,,
102,37.86,41.68,52.31,38.28,,,,,,,
103,38.01,41.66,53.02,38.19,,,,,,,
104,37.97,42.11,53.07,38.9,,,,,,,
105,38.09,41.95,52.97,37.73,,,,,,,
106,37.96,41.89,52.83,39.68,,,,,,,
107,38.04,42.4,53.51,38.36,,,,,,,
108,38.17,42.45,54.02,39.16,,,,,,,
109,38.05,42.37,54.53,39.54,,,,,,,
110,38.2,42.93,54.67,39.18,,,,,,,
111,38.01,42.88,54.77,38.04,,,,,,,
112,38.36,43.15,54.88,40.38,,,,,,,
113,38.74,43.37,54.99,39.47,,,,,,,
114,38.98,43.3,56.08,40.63,,,,,,,
115,38.27,43.56,55.84,40.33,,,,,,,
116,38.6,43.94,55.58,39.96,,,,,,,
117,38.85,43.85,56.02,40.65,,,,,,,
118,38.63,44.56,56.48,40.88,,,,,,,
119,39.05,44.15,56.71,42.26,,,,,,,
120,38.82,44.2,56.54,40.83,,,,,,,
121,38.97,44.52,57.52,40.94,,,,,,,
122,38.95,44.78,57.55,40.91,,,,,,,
123,39.16,44.69,57.98,43.02,,,,,,,
124,39.26,44.88,58.67,43.04,,,,,,,
125,39.1,45.05,58.28,42.35,,,,,,,
126,39.4,45.41,58.61,42.83,,,,,,,
127,39.31,45.71,59.21,42.32,,,,,,,
128,39.62,45.91,59.6,42.02,,,,,,,
129,39.57,45.95,59.63,42.64,,,,,,,
130,39.55,46.12,60.25,41.98,,,,,,,
131,39.79,46.71,60.19,42.61,,,,,,,
132,39.61,46.45,60.57,44.78,,,,,,,
133,39.88,46.65,60.54,44.37,,,,,,,
134,39.83,46.91,60.38,43.78,,,,,,,
135,39.84,47.27,61.21,44.03,,,,,,,
136,39.88,47.02,61.28,43.9,,,,,,,
