535, 74.94
536, 74.79
537, 74.96
538, 75.19
539, 75.3
540, 75.31
541, 75.37
542, 75.64
543, 75.57
544, 75.7
545, 75.44
546, 75.97
547, 75.9
548, 75.93
549, 76.28
550, 76.1
551, 76.16
552, 76.16
553, 76.42
554, 76.47
555, 76.32
556, 77
557, 76.51
558, 76.95
559, 76.88
560, 77.13
561, 77.08
562, 77.03
563, 77.35
564, 77.78
565, 77.36
566, 77.24
567, 77.33
568, 77.7
569, 77.48
570, 77.5
571, 77.67
572, 77.7
573, 77.73
574, 78.16
575, 78.18
576, 77.92
577, 78.34
578, 78.58
579, 78.53
580, 78.74
581, 78.69
582, 78.76
583, 78.54
584, 78.59
585, 78.59
586, 79.02
587, 78.78
588, 79.02
589, 79.17
590, 78.85
591, 79.06
592, 79.23
593, 79.37
594, 79.12
595, 79.2
596, 79.32
597, 79.59
598, 79.79
599, 79.64
600, 80.25
601, 79.8
602, 80.24
603, 79.55
604, 79.71
605, 79.9
606, 80.13
607, 80.2
608, 80.21
609, 80.44
610, 80.41
611, 80.06
612, 80.22
613, 80.52
614, 80.4
615, 80.63
616, 80.76
617, 80.57
618, 80.79
619, 80.61
620, 80.71
621, 81.03
622, 80.74
623, 80.91
624, 80.91
625, 80.89
626, 81.11
627, 81
628, 81.01
629, 81.53
630, 81.47
631, 81.19
632, 81.4
633, 81.61
634, 81.62
635, 81.46
636, 81.28
637, 81.53
638, 81.24
639, 81.57
640, 81.92
641, 81.65
642, 81.87
643, 81.74
644, 82.01
645, 81.8
646, 81.84
647, 81.87
648, 82.03
649, 82.11
650, 82.12
651, 82.47
652, 82.55
653, 82.23
654, 82.24
655, 82.29
656, 82.35
657, 81.97
658, 82.28
659, 82.62
660, 82.2
661, 82.16
662, 82.5
663, 82.94
664, 82.62
665, 82.86
666, 82.91
667, 82.75
668, 82.94
669, 82.95
670, 82.94
671, 82.85
672, 82.8
673, 82.98
674, 83.1
675, 82.95
676, 83.41
677, 82.94
678, 82.98
679, 83.25
680, 83.24
681, 83.25
682, 83.09
683, 83.37
684, 83.44
685, 83.44
686, 83.47
687, 83.29
688, 83.83
689, 83.65
690, 83.55
691, 83.68
692, 83.65
693, 83.54
694, 83.89
695, 83.99
696, 83.55
697, 83.63
698, 83.69
699, 83.73
700, 84
701, 83.85
702, 83.71
703, 83.76
704, 83.95
705, 83.98
706, 83.98
707, 84.08
708, 83.82
709, 84.28
710, 83.93
711, 83.74
712, 84.34
713, 84.19
714, 84.1
715, 84.1
716, 84.34
717, 84.26
718, 84.1
719, 84.27
720, 84.58
721, 84.32
722, 84.14
723, 84.58
724, 84.67
725, 84.37
726, 84.21
727, 84.38
728, 84.33
729, 84.39
730, 84.17
731, 84.38
732, 84.67
733, 84.86
734, 84.62
735, 84.64
736, 84.99
737, 84.64
738, 84.6
739, 84.42
740, 84.84
741, 84.87
742, 84.68
743, 84.83
744, 84.87
745, 84.86
746, 84.88
747, 84.91
748, 85.1
749, 85.26
750, 84.93
751, 84.94
752, 85.06
753, 85.18
754, 85.09
755, 84.78
756, 84.77
757, 85.01
758, 85.06
759, 85.11
760, 85.1
761, 85.2
762, 85.15
763, 85.07
764, 84.76
765, 84.74
766, 85.35
767, 85.11
768, 85.44
769, 85.08
770, 85.15
771, 85.49
772, 85.16
773, 85.09
774, 85.13
775, 85.23
776, 85.35
777, 85.59
778, 85.7
779, 85.4
780, 85.36
781, 85.47
782, 85.49
783, 85.37
784, 85.2
785, 85.51
786, 85.3
787, 85.5
788, 85.43
789, 85.56
790, 86.03
791, 85.76
792, 85.55
793, 85.77
794, 85.61
795, 85.73
796, 85.98
797, 85.31
798, 85.75
799, 85.59
800, 85.56
801, 85.96
802, 85.73
803, 86.11
804, 85.5
805, 85.73
806, 85.7
807, 85.65
808, 85.78
809, 85.58
810, 85.78
811, 85.65
812, 85.96
813, 86.12
814, 85.7
815, 85.89
816, 85.85
817, 85.74
818, 85.86
819, 85.77
820, 86.15
821, 86.06
822, 86.13
823, 85.93
824, 86.05
825, 85.76
826, 86.01
827, 86.09
828, 86.2
829, 86.08
830, 85.84
831, 86.08
832, 86.11
833, 85.87
834, 86.36
835, 86.46
836, 86.35
837, 86.38
838, 86.46
839, 86.36
840, 86.45
841, 86.08
842, 86.04
843, 86.41
844, 86.62
845, 86.22
846, 86.62
847, 86.16
848, 86.53
849, 86.67
850, 86.47
851, 86.2
852, 86.62
853, 86.39
854, 86.4
855, 86.41
856, 86.13
857, 86.39
858, 86.43
859, 86.3
860, 86.57
861, 86.43
862, 86.27
863, 86.34
864, 86.46
865, 86.64
866, 86.54
867, 86.32
868, 86.56
869, 86.74
870, 86.96
871, 86.54
872, 86.43
873, 86.46
874, 86.93
875, 86.42
876, 86.4
877, 86.66
878, 86.48
879, 86.58
880, 86.36
881, 86.62
882, 86.74
883, 86.58
884, 86.72
885, 86.37
886, 86.42
887, 86.59
888, 86.29
889, 86.47
890, 86.84
891, 86.56
892, 87.02
893, 87.13
894, 86.79
895, 87
896, 87.03
897, 86.48
