162,75.63,92.87,98.91,91.78,,,,,,
163,75.99,92.71,98.61,92.12,,,,,,
164,76.01,92.79,98.16,91.71,,,,,,
165,76.49,92.51,98.48,93.27,,,,,,
166,76.92,92.75,98.62,92.33,,,,,,
167,77.08,92.45,98.88,92.99,,,,,,
168,77.93,92.53,100.13,93.15,,,,,,
169,78.36,92.83,100.29,92.97,,,,,,
170,78.31,92.57,98.24,93.71,,,,,,
171,78.82,92.92,98.96,93.37,,,,,,
172,79.14,92.8,100.61,93.1,,,,,,
173,79.52,92.79,101.02,94.47,,,,,,
174,79.87,93.05,99.37,93.25,,,,,,
175,80.06,92.78,98.05,93.8,,,,,,
176,80.52,92.76,99.51,93.38,,,,,,
177,80.59,93.31,97.91,94.09,,,,,,
178,80.85,93.11,98.24,93.35,,,,,,
179,81.11,93.06,99.8,93.09,,,,,,
180,81.34,92.67,96.74,92.49,,,,,,
181,81.64,93.24,97.89,94.86,,,,,,
182,82.18,92.72,102.24,93.38,,,,,,
183,82.2,92.73,98.46,93.66,,,,,,
184,82.59,93.1,99.87,94,,,,,,
185,82.63,93.04,99.96,93.76,,,,,,
186,83.15,93.17,101.72,92.81,,,,,,
187,83.1,92.92,100.07,93.43,,,,,,
188,83.4,93.19,99.52,93.43,,,,,,
189,83.55,93.12,101.62,93.31,,,,,,
190,84.03,92.57,99.34,94.21,,,,,,
191,84.28,93.13,99.44,94.16,,,,,,
192,84.51,92.6,99.32,94.11,,,,,,
193,84.8,93.08,100.38,94.97,,,,,,
194,84.63,92.83,100.6,93.98,,,,,,
195,85.13,92.99,98.98,93.94,,,,,,
196,85.02,92.76,101.84,94.62,,,,,,
197,85.42,92.78,101.99,93.48,,,,,,
198,85.53,92.78,100.01,93.17,,,,,,
199,85.73,92.89,100.08,94.61,,,,,,
200,85.98,92.76,100.62,93.94,,,,,,
201,86.38,92.91,98.21,94.33,,,,,,
202,86.56,92.73,98.93,94.01,,,,,,
203,86.43,92.67,98.9,94.12,,,,,,
204,86.71,93,99.49,93.68,,,,,,
205,87.08,93,102.09,94.17,,,,,,
206,87.85,92.99,99.59,93.76,,,,,,
207,87.89,93.08,99.71,94.18,,,,,,
208,87.58,92.72,100.19,93.68,,,,,,
209,88.01,92.97,100.65,93.11,,,,,,
210,88.15,93.02,100.77,94.86,,,,,,
211,88.31,93.05,99.09,93.73,,,,,,
212,88.83,92.59,101.86,93.28,,,,,,
213,89.03,93.13,101.11,93.85,,,,,,
214,89.08,92.91,100.46,93.67,,,,,,
215,89.02,93.09,99.13,94.29,,,,,,
216,89.52,92.96,100.33,93.86,,,,,,
217,89.85,92.75,98.43,93.5,,,,,,
218,89.17,92.96,98.81,92.27,,,,,,
219,89.09,92.96,99.72,93.58,,,,,,
220,89.29,92.94,101.47,94.37,,,,,,
221,89.24,92.62,98.68,93.43,,,,,,
222,88.89,92.44,101.37,93.84,,,,,,
223,89.47,92.7,101.12,93.79,,,,,,
224,89.39,92.95,99.24,94.03,,,,,,
225,90.42,92.88,99.8,95.53,,,,,,
226,89.91,92.93,98.6,94.01,,,,,,
227,89.72,92.65,99.78,93.82,,,,,,
228,89.59,92.77,101.96,93.14,,,,,,
229,89.82,92.96,99.77,93.74,,,,,,
230,89.53,92.76,100.36,93.48,,,,,,
231,89.37,92.97,101.73,93.93,,,,,,
232,90,93.37,99.17,94.21,,,,,,
233,90.05,92.5,96.9,94.32,,,,,,
234,90.17,92.86,102.38,93.77,,,,,,
235,90.01,92.99,100.56,93.42,,,,,,
236,90.26,92.86,97.05,93.04,,,,,,
237,90.44,92.96,99.49,93.04,,,,,,
238,90.09,92.96,99.62,93.6,,,,,,
239,90.27,93.27,99.41,94.35,,,,,,
240,90.88,92.8,98.86,93.13,,,,,,
241,90.76,93.04,100.08,93.94,,,,,,
242,90.52,92.8,98.17,94.88,,,,,,
243,90.7,92.73,98.29,94.35,,,,,,
244,90.91,93.26,100.92,93.54,,,,,,
245,90.77,92.91,97.57,94.49,,,,,,
246,90.82,92.54,99.95,94.46,,,,,,
247,91.17,92.75,99.8,93.39,,,,,,
248,90.92,92.94,98.12,93.22,,,,,,
249,91.1,92.92,100.17,92.88,,,,,,
250,90.85,92.65,98.17,93.04,,,,,,
251,90.9,93.18,100.2,92.38,,,,,,
252,90.95,92.72,99.08,93.95,,,,,,
253,91.37,92.65,99.4,93.26,,,,,,
254,91.59,92.72,99.48,93.02,,,,,,
255,91.3,92.53,99.42,94.29,,,,,,
