TipoAntena,NAntenas,Caso,PotenciaAntena_W,PotenciaTotal_W,Detectada,CubiertaPorCarbonizacion,PotenciaCarbonizante_W,MinutoCorteCarbonizante,FaltanteBruta,FaltanteEfectiva
Doble_slot,2,1,45,90,0,0,NaN,NaN,1,1
Doble_slot,2,1,50,100,0,0,NaN,NaN,1,1
Doble_slot,2,2,5,10,0,0,NaN,NaN,1,1
Doble_slot,2,2,10,20,0,0,NaN,NaN,1,1
Doble_slot,2,2,15,30,0,0,NaN,NaN,1,1
Doble_slot,2,2,20,40,0,0,NaN,NaN,1,1
Doble_slot,2,2,25,50,0,0,NaN,NaN,1,1
Doble_slot,2,2,30,60,0,0,NaN,NaN,1,1
Doble_slot,2,2,35,70,0,0,NaN,NaN,1,1
Doble_slot,2,2,40,80,0,0,NaN,NaN,1,1
Doble_slot,2,2,45,90,0,0,NaN,NaN,1,1
Doble_slot,2,2,50,100,0,0,NaN,NaN,1,1
Doble_slot,2,4,5,10,0,0,NaN,NaN,1,1
Doble_slot,2,4,10,20,0,0,NaN,NaN,1,1
Doble_slot,2,4,15,30,0,0,NaN,NaN,1,1
Doble_slot,2,4,20,40,0,0,NaN,NaN,1,1
Doble_slot,2,4,25,50,0,0,NaN,NaN,1,1
Doble_slot,2,4,30,60,0,0,NaN,NaN,1,1
Doble_slot,2,4,35,70,0,0,NaN,NaN,1,1
Doble_slot,2,4,40,80,0,0,NaN,NaN,1,1
Doble_slot,2,4,45,90,0,0,NaN,NaN,1,1
Doble_slot,2,4,50,100,0,0,NaN,NaN,1,1
Doble_slot,2,5,20,40,0,0,NaN,NaN,1,1
Doble_slot,2,5,25,50,0,0,NaN,NaN,1,1
Doble_slot,2,5,30,60,0,0,NaN,NaN,1,1
Doble_slot,2,5,35,70,0,0,NaN,NaN,1,1
Doble_slot,2,5,40,80,0,0,NaN,NaN,1,1
Doble_slot,2,5,45,90,0,0,NaN,NaN,1,1
Doble_slot,2,5,50,100,0,0,NaN,NaN,1,1
Doble_slot,2,6,5,10,0,0,NaN,NaN,1,1
Doble_slot,2,6,10,20,0,0,NaN,NaN,1,1
Doble_slot,2,6,15,30,0,0,NaN,NaN,1,1
Doble_slot,2,6,20,40,0,0,NaN,NaN,1,1
Doble_slot,2,6,25,50,0,0,NaN,NaN,1,1
Doble_slot,2,6,30,60,0,0,NaN,NaN,1,1
Doble_slot,2,6,35,70,0,0,NaN,NaN,1,1
Doble_slot,2,6,40,80,0,0,NaN,NaN,1,1
Doble_slot,2,6,45,90,0,0,NaN,NaN,1,1
Doble_slot,2,6,50,100,0,0,NaN,NaN,1,1
Doble_slot,2,7,35,70,0,0,NaN,NaN,1,1
Doble_slot,2,7,40,80,0,0,NaN,NaN,1,1
Doble_slot,2,7,45,90,0,0,NaN,NaN,1,1
Doble_slot,2,7,50,100,0,0,NaN,NaN,1,1
Doble_slot,2,8,5,10,0,0,NaN,NaN,1,1
Doble_slot,2,8,10,20,0,0,NaN,NaN,1,1
Doble_slot,2,8,15,30,0,0,NaN,NaN,1,1
Doble_slot,2,8,20,40,0,0,NaN,NaN,1,1
Doble_slot,2,8,25,50,0,0,NaN,NaN,1,1
Doble_slot,2,8,30,60,0,0,NaN,NaN,1,1
Doble_slot,2,8,35,70,0,0,NaN,NaN,1,1
Doble_slot,2,8,40,80,0,0,NaN,NaN,1,1
Doble_slot,2,8,45,90,0,0,NaN,NaN,1,1
Doble_slot,2,8,50,100,0,0,NaN,NaN,1,1
Doble_slot,3,0,15,45,0,0,NaN,NaN,1,1
Doble_slot,3,0,20,60,0,0,NaN,NaN,1,1
Doble_slot,3,0,25,75,0,0,NaN,NaN,1,1
Doble_slot,3,0,30,90,0,0,NaN,NaN,1,1
Doble_slot,3,1,15,45,0,0,NaN,NaN,1,1
Doble_slot,3,1,20,60,0,0,NaN,NaN,1,1
Doble_slot,3,1,25,75,0,0,NaN,NaN,1,1
Doble_slot,3,1,30,90,0,0,NaN,NaN,1,1
Doble_slot,3,2,5,15,0,0,NaN,NaN,1,1
Doble_slot,3,2,10,30,0,0,NaN,NaN,1,1
Doble_slot,3,2,15,45,0,0,NaN,NaN,1,1
Doble_slot,3,2,20,60,0,0,NaN,NaN,1,1
Doble_slot,3,2,25,75,0,0,NaN,NaN,1,1
Doble_slot,3,2,30,90,0,0,NaN,NaN,1,1
Doble_slot,3,4,5,15,0,0,NaN,NaN,1,1
Doble_slot,3,4,10,30,0,0,NaN,NaN,1,1
Doble_slot,3,4,15,45,0,0,NaN,NaN,1,1
Doble_slot,3,4,20,60,0,0,NaN,NaN,1,1
Doble_slot,3,4,25,75,0,0,NaN,NaN,1,1
Doble_slot,3,4,30,90,0,0,NaN,NaN,1,1
Doble_slot,3,5,20,60,0,0,NaN,NaN,1,1
Doble_slot,3,5,25,75,0,0,NaN,NaN,1,1
