"Tipo","Antenas","Caso","Potencia","Tmax","Ruta"
"Monopolo","2","3","5","106.7296","Monopolo\2ant\Caso_3\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Monopolo","2","4","30","106.2106","Monopolo\2ant\Caso_4\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","2","5","30","106.3606","Monopolo\2ant\Caso_5\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","2","6","30","103.0971","Monopolo\2ant\Caso_6\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","2","7","30","105.4677","Monopolo\2ant\Caso_7\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","2","8","30","103.9864","Monopolo\2ant\Caso_8\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","0","10","160.1841","Monopolo\3ant\Caso_0\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","0","15","243.3259","Monopolo\3ant\Caso_0\Potencia_15W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","0","30","453.0452","Monopolo\3ant\Caso_0\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","0","5","105.8773","Monopolo\3ant\Caso_0\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","1","10","116.4599","Monopolo\3ant\Caso_1\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","1","15","116.648","Monopolo\3ant\Caso_1\Potencia_15W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","1","30","107.265","Monopolo\3ant\Caso_1\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","1","5","112.3622","Monopolo\3ant\Caso_1\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","2","30","104.7783","Monopolo\3ant\Caso_2\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","3","10","110.2073","Monopolo\3ant\Caso_3\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","3","30","106.8725","Monopolo\3ant\Caso_3\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","3","5","115.3169","Monopolo\3ant\Caso_3\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","4","30","106.215","Monopolo\3ant\Caso_4\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","5","30","110.7322","Monopolo\3ant\Caso_5\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","6","30","105.3212","Monopolo\3ant\Caso_6\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","7","30","108.0359","Monopolo\3ant\Caso_7\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","3","8","30","114.4246","Monopolo\3ant\Caso_8\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","0","10","174.6453","Monopolo\4ant\Caso_0\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","0","15","243.3647","Monopolo\4ant\Caso_0\Potencia_15W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","0","30","454.5068","Monopolo\4ant\Caso_0\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","0","5","105.9714","Monopolo\4ant\Caso_0\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","1","10","114.9107","Monopolo\4ant\Caso_1\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","1","15","113.6531","Monopolo\4ant\Caso_1\Potencia_15W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","1","20","107.788","Monopolo\4ant\Caso_1\Potencia_20W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","1","30","105.9397","Monopolo\4ant\Caso_1\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","1","5","110.0928","Monopolo\4ant\Caso_1\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","2","30","107.2339","Monopolo\4ant\Caso_2\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","3","10","115.6403","Monopolo\4ant\Caso_3\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","3","30","106.8684","Monopolo\4ant\Caso_3\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","3","5","116.2527","Monopolo\4ant\Caso_3\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","4","30","113.6176","Monopolo\4ant\Caso_4\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","5","30","112.3802","Monopolo\4ant\Caso_5\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","6","30","105.1661","Monopolo\4ant\Caso_6\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","7","30","106.1946","Monopolo\4ant\Caso_7\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","4","8","30","106.7546","Monopolo\4ant\Caso_8\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Un_slot","1","0","10","158.2101","Un_slot\1ant\Caso_0\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Un_slot","1","0","5","97.6256","Un_slot\1ant\Caso_0\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Un_slot","1","3","10","115.8756","Un_slot\1ant\Caso_3\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Un_slot","1","3","5","107.9502","Un_slot\1ant\Caso_3\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Un_slot","2","0","10","142.8121","Un_slot\2ant\Caso_0\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Un_slot","2","0","5","89.9732","Un_slot\2ant\Caso_0\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Un_slot","2","3","10","104.6792","Un_slot\2ant\Caso_3\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Un_slot","2","3","5","102.9418","Un_slot\2ant\Caso_3\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Un_slot","3","0","10","180.4332","Un_slot\3ant\Caso_0\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Un_slot","3","0","5","108.7855","Un_slot\3ant\Caso_0\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Un_slot","3","3","10","104.465","Un_slot\3ant\Caso_3\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Un_slot","3","3","15","105.279","Un_slot\3ant\Caso_3\Potencia_15W\Registro_Sondas_Temperatura.txt"
"Un_slot","3","3","5","108.6603","Un_slot\3ant\Caso_3\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Un_slot","4","0","10","180.1501","Un_slot\4ant\Caso_0\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Un_slot","4","0","5","108.6434","Un_slot\4ant\Caso_0\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Un_slot","4","3","10","104.1423","Un_slot\4ant\Caso_3\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Un_slot","4","3","15","106.2082","Un_slot\4ant\Caso_3\Potencia_15W\Registro_Sondas_Temperatura.txt"
"Un_slot","4","3","5","104.1661","Un_slot\4ant\Caso_3\Potencia_5W\Registro_Sondas_Temperatura.txt"
