TipoAntena,NAntenas,Caso,PotenciaAntena_W,PotenciaTotal_W,NArchivosSTL,NArchivosDone,TieneRegistroSondas,TMinSTL_min,TMaxSTL_min,TiemposSTL,TMaxSondas_C,UmbralSTL_C,Estado,TieneAdvertencia,MotivosAdvertencia,RutaRelativa,RutaCompleta
Monopolo,1,4,15,15,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",111.3143,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_4\Potencia_15W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_4\Potencia_15W
Monopolo,1,4,20,20,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",110.4287,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_4\Potencia_20W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_4\Potencia_20W
Monopolo,1,4,25,25,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",106.149,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_4\Potencia_25W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_4\Potencia_25W
Monopolo,1,4,30,30,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",106.8984,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_4\Potencia_30W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_4\Potencia_30W
Monopolo,1,4,35,35,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",106.8067,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_4\Potencia_35W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_4\Potencia_35W
Monopolo,1,4,40,40,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",105.9409,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_4\Potencia_40W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_4\Potencia_40W
Monopolo,1,4,45,45,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",105.8527,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_4\Potencia_45W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_4\Potencia_45W
Monopolo,1,4,50,50,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",106.9704,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_4\Potencia_50W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_4\Potencia_50W
Monopolo,1,4,55,55,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",105.5647,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_4\Potencia_55W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_4\Potencia_55W
Monopolo,1,4,60,60,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",106.7173,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_4\Potencia_60W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_4\Potencia_60W
