ruta,fuente,modelo,dataset,partition_key,fuentes_equivalentes,tipo,antena,num_antenas,caso,potencia_W
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_1/Potencia_30W/modelo_Monopolo_1ant_dset_c1_p30.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo1.mat","modelo_Monopolo_1ant","dset_c1_p30","modelo_Monopolo_1ant__dset_c1_p30","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo1.mat","Monopolo","1ant",1,1,30
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_1/Potencia_5W/modelo_Monopolo_1ant_dset_c1_p5.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","modelo_Monopolo_1ant","dset_c1_p5","modelo_Monopolo_1ant__dset_c1_p5","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","Monopolo","1ant",1,1,5
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_3/Potencia_10W/modelo_Monopolo_1ant_dset_c3_p10.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","modelo_Monopolo_1ant","dset_c3_p10","modelo_Monopolo_1ant__dset_c3_p10","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo4.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","Monopolo","1ant",1,3,10
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_3/Potencia_15W/modelo_Monopolo_1ant_dset_c3_p15.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","modelo_Monopolo_1ant","dset_c3_p15","modelo_Monopolo_1ant__dset_c3_p15","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo4.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","Monopolo","1ant",1,3,15
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_3/Potencia_5W/modelo_Monopolo_1ant_dset_c3_p5.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","modelo_Monopolo_1ant","dset_c3_p5","modelo_Monopolo_1ant__dset_c3_p5","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo4.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","Monopolo","1ant",1,3,5
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_4/Potencia_10W/modelo_Monopolo_1ant_dset_c4_p10.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo3.mat","modelo_Monopolo_1ant","dset_c4_p10","modelo_Monopolo_1ant__dset_c4_p10","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo4.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo3.mat","Monopolo","1ant",1,4,10
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_4/Potencia_100W/modelo_Monopolo_1ant_dset_c4_p100.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo3.mat","modelo_Monopolo_1ant","dset_c4_p100","modelo_Monopolo_1ant__dset_c4_p100","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo3.mat","Monopolo","1ant",1,4,100
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_4/Potencia_15W/modelo_Monopolo_1ant_dset_c4_p15.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo3.mat","modelo_Monopolo_1ant","dset_c4_p15","modelo_Monopolo_1ant__dset_c4_p15","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo4.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo3.mat","Monopolo","1ant",1,4,15
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_4/Potencia_20W/modelo_Monopolo_1ant_dset_c4_p20.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo3.mat","modelo_Monopolo_1ant","dset_c4_p20","modelo_Monopolo_1ant__dset_c4_p20","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo4.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo3.mat","Monopolo","1ant",1,4,20
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_4/Potencia_25W/modelo_Monopolo_1ant_dset_c4_p25.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo3.mat","modelo_Monopolo_1ant","dset_c4_p25","modelo_Monopolo_1ant__dset_c4_p25","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo4.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo3.mat","Monopolo","1ant",1,4,25
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_4/Potencia_35W/modelo_Monopolo_1ant_dset_c4_p35.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo3.mat","modelo_Monopolo_1ant","dset_c4_p35","modelo_Monopolo_1ant__dset_c4_p35","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo4.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo3.mat","Monopolo","1ant",1,4,35
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_4/Potencia_40W/modelo_Monopolo_1ant_dset_c4_p40.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo3.mat","modelo_Monopolo_1ant","dset_c4_p40","modelo_Monopolo_1ant__dset_c4_p40","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo4.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo3.mat","Monopolo","1ant",1,4,40
